date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:14	0/-1	---M--	303	error ('')			http://smpn2blitarkota.us.to:2030/course/view.php?id=32	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/view.2cdac1.delayed	(from http://smpn2blitarkota.us.to:2030/course/index.php?categoryid=1)
14:10:14	447/447	---M--	303	error ('See%20Other')	text/html	date:Sat,%2003%20Jun%202023%2007:10:16%20GMT	http://smpn2blitarkota.us.to:2030/course/view.php?id=81	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/view5ea1.php	(from http://smpn2blitarkota.us.to:2030/course/index.php?categoryid=7)
14:10:15	447/447	---M--	303	error ('See%20Other')	text/html	date:Sat,%2003%20Jun%202023%2007:10:16%20GMT	http://smpn2blitarkota.us.to:2030/course/view.php?id=80	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/view2815.php	(from http://smpn2blitarkota.us.to:2030/course/index.php?categoryid=7)
14:10:16	447/447	---M--	303	error ('See%20Other')	text/html	date:Sat,%2003%20Jun%202023%2007:10:17%20GMT	http://smpn2blitarkota.us.to:2030/course/view.php?id=79	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/view9421.php	(from http://smpn2blitarkota.us.to:2030/course/index.php?categoryid=7)
14:10:17	447/447	---M--	303	error ('See%20Other')	text/html	date:Sat,%2003%20Jun%202023%2007:10:18%20GMT	http://smpn2blitarkota.us.to:2030/course/view.php?id=78	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/viewbc58.php	(from http://smpn2blitarkota.us.to:2030/course/index.php?categoryid=7)
14:10:18	447/447	---M--	303	error ('See%20Other')	text/html	date:Sat,%2003%20Jun%202023%2007:10:19%20GMT	http://smpn2blitarkota.us.to:2030/course/view.php?id=77	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/viewd8c4.php	(from http://smpn2blitarkota.us.to:2030/course/index.php?categoryid=7)
14:10:19	447/447	---M--	303	error ('See%20Other')	text/html	date:Sat,%2003%20Jun%202023%2007:10:20%20GMT	http://smpn2blitarkota.us.to:2030/course/view.php?id=76	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/viewe27e.php	(from http://smpn2blitarkota.us.to:2030/course/index.php?categoryid=7)
14:10:20	447/447	---M--	303	error ('See%20Other')	text/html	date:Sat,%2003%20Jun%202023%2007:10:21%20GMT	http://smpn2blitarkota.us.to:2030/course/view.php?id=75	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/view1a6a.php	(from http://smpn2blitarkota.us.to:2030/course/index.php?categoryid=7)
14:10:21	447/447	---M--	303	error ('See%20Other')	text/html	date:Sat,%2003%20Jun%202023%2007:10:22%20GMT	http://smpn2blitarkota.us.to:2030/course/view.php?id=74	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/view23df.php	(from http://smpn2blitarkota.us.to:2030/course/index.php?categoryid=7)
14:10:22	447/447	---M--	303	error ('See%20Other')	text/html	date:Sat,%2003%20Jun%202023%2007:10:23%20GMT	http://smpn2blitarkota.us.to:2030/course/view.php?id=73	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/view8431.php	(from http://smpn2blitarkota.us.to:2030/course/index.php?categoryid=7)
14:10:23	447/447	---M--	303	error ('See%20Other')	text/html	date:Sat,%2003%20Jun%202023%2007:10:24%20GMT	http://smpn2blitarkota.us.to:2030/course/view.php?id=72	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/view76a2.php	(from http://smpn2blitarkota.us.to:2030/course/index.php?categoryid=7)
14:10:24	447/447	---M--	303	error ('See%20Other')	text/html	date:Sat,%2003%20Jun%202023%2007:10:25%20GMT	http://smpn2blitarkota.us.to:2030/course/view.php?id=71	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/view475d.php	(from http://smpn2blitarkota.us.to:2030/course/index.php?categoryid=7)
14:10:25	447/447	---M--	303	error ('See%20Other')	text/html	date:Sat,%2003%20Jun%202023%2007:10:26%20GMT	http://smpn2blitarkota.us.to:2030/course/view.php?id=70	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/view4f62.php	(from http://smpn2blitarkota.us.to:2030/course/index.php?categoryid=7)
14:10:26	0/-1	---M--	303	error ('')			http://smpn2blitarkota.us.to:2030/course/view.php?id=32	/storage/emulated/0/HTTrack/Websites/smp/smpn2blitarkota.us.to_2030/course/view.39dac1.delayed	(from http://smpn2blitarkota.us.to:2030/course/index.php)
